"country,""oecd_public_pension_spending_pct_gdp"",""oecd_public_pension_spending_latest_year"",""eurostat_pension_spending_pct_gdp_2021"",""eurostat_status_2021"",""pension_age_men_or_baseline"",""low_earner_grr_pct"",""average_earner_grr_pct"",""high_earner_grr_pct"",""low_minus_average_pp"",""average_minus_high_pp"",""low_to_average_ratio"",""progressivity_index_oecd_earnings_dist_2013"",""progressivity_index_national_earnings_dist_2013"",""pension_gini_oecd_earnings_dist_2013"",""pension_gini_national_earnings_dist_2013"",""gini_wage_national_earnings_dist_2013"",""source_spending_oecd"",""source_progressivity_proxy_2025"",""source_progressivity_index_2013"""
"Australia,""3.4"",""2022"",,,""67"",""71.3"",""40.8"",""26.4"",""30.5"",""14.4"",""1.75"",""71.9"",""71.7"",""7.3"",""7.3"",""25.6"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Austria,""14.0"",""2021"",""14.98"",""final"",""65"",""74.1"",""74.1"",""52.5"",""0.0"",""21.6"",""1.00"",""27.5"",""27.9"",""18.9"",""18.2"",""25.3"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Belgium,""10.7"",""2021"",""12.67"",""final"",""67"",""61.7"",""43.5"",""28.2"",""18.2"",""15.3"",""1.42"",""60.6"",""57.0"",""10.3"",""9.8"",""22.9"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Canada,""5.9"",""2022"",,,""65"",""47.3"",""37.1"",""18.5"",""10.2"",""18.6"",""1.27"",""92.1"",""93.1"",""2.1"",""1.7"",""25.0"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Chile,""3.1"",""2023"",,,""65"",""61.8"",""49.7"",""37.5"",""12.1"",""12.2"",""1.24"",""27.9"","""",""18.8"","""","""",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Colombia,""5.6"",""2023"",,,""62"",""80.6"",""74.8"",""57.1"",""5.8"",""17.7"",""1.08"",,,,,,""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"","
"Costa Rica,""5.3"",""2023"",,,""65"",""65.7"",""65.7"",""63.2"",""0.0"",""2.5"",""1.00"",,,,,,""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"","
"Czechia,""8.2"",""2021"",""8.63"",""final"",""67"",""71.4"",""44.2"",""30.6"",""27.2"",""13.6"",""1.62"",""62.2"",""62.2"",""9.8"",""9.8"",""26.0"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Denmark,""7.5"",""2021"",""11.74"",""final"",""74"",""115.2"",""72.7"",""53.6"",""42.5"",""19.1"",""1.58"",""57.0"",""56.8"",""11.2"",""9.5"",""21.9"",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
"Estonia,""6.8"",""2021"",""8.00"",""final"",""71"",""51.2"",""29.3"",""18.4"",""21.9"",""10.9"",""1.75"",""25.6"","""",""19.4"","""","""",""OECD Pensions at a Glance 2025 Table 8.2"",""OECD Pensions at a Glance 2025 Table 4.1"",""OECD Pensions at a Glance 2013 Table 4.19"""
