country,public_pension_spending_pct_gdp,latest_year,source
Australia,3.4,2022,OECD Pensions at a Glance 2025 Table 8.2
Austria,14.0,2021,OECD Pensions at a Glance 2025 Table 8.2
Belgium,10.7,2021,OECD Pensions at a Glance 2025 Table 8.2
Canada,5.9,2022,OECD Pensions at a Glance 2025 Table 8.2
Chile,3.1,2023,OECD Pensions at a Glance 2025 Table 8.2
Colombia,5.6,2023,OECD Pensions at a Glance 2025 Table 8.2
Costa Rica,5.3,2023,OECD Pensions at a Glance 2025 Table 8.2
Czechia,8.2,2021,OECD Pensions at a Glance 2025 Table 8.2
Denmark,7.5,2021,OECD Pensions at a Glance 2025 Table 8.2
Estonia,6.8,2021,OECD Pensions at a Glance 2025 Table 8.2
Finland,12.2,2021,OECD Pensions at a Glance 2025 Table 8.2
France,13.4,2022,OECD Pensions at a Glance 2025 Table 8.2
Germany,10.8,2021,OECD Pensions at a Glance 2025 Table 8.2
Greece,16.2,2021,OECD Pensions at a Glance 2025 Table 8.2
Hungary,7.6,2021,OECD Pensions at a Glance 2025 Table 8.2
Iceland,2.9,2021,OECD Pensions at a Glance 2025 Table 8.2
Ireland,2.9,2021,OECD Pensions at a Glance 2025 Table 8.2
Israel,4.5,2023,OECD Pensions at a Glance 2025 Table 8.2
Italy,16.1,2021,OECD Pensions at a Glance 2025 Table 8.2
Japan,9.2,2022,OECD Pensions at a Glance 2025 Table 8.2
Korea,3.8,2022,OECD Pensions at a Glance 2025 Table 8.2
Latvia,7.5,2021,OECD Pensions at a Glance 2025 Table 8.2
Lithuania,6.5,2021,OECD Pensions at a Glance 2025 Table 8.2
Luxembourg,8.6,2021,OECD Pensions at a Glance 2025 Table 8.2
Mexico,4.6,2023,OECD Pensions at a Glance 2025 Table 8.2
Netherlands,6.4,2021,OECD Pensions at a Glance 2025 Table 8.2
New Zealand,5.1,2022,OECD Pensions at a Glance 2025 Table 8.2
Norway,6.5,2021,OECD Pensions at a Glance 2025 Table 8.2
Poland,11.2,2021,OECD Pensions at a Glance 2025 Table 8.2
Portugal,12.9,2021,OECD Pensions at a Glance 2025 Table 8.2
Slovak Republic,7.4,2021,OECD Pensions at a Glance 2025 Table 8.2
Slovenia,10.6,2021,OECD Pensions at a Glance 2025 Table 8.2
Spain,12.3,2021,OECD Pensions at a Glance 2025 Table 8.2
Sweden,8.0,2021,OECD Pensions at a Glance 2025 Table 8.2
Switzerland,6.6,2021,OECD Pensions at a Glance 2025 Table 8.2
Turkiye,6.1,2021,OECD Pensions at a Glance 2025 Table 8.2
United Kingdom,7.1,2022,OECD Pensions at a Glance 2025 Table 8.2
United States,7.3,2023,OECD Pensions at a Glance 2025 Table 8.2
OECD average,8.1,2021,OECD Pensions at a Glance 2025 Table 8.2
